t[s]	        x[cm]	         y[cm]	        v[cm/s]	        a[cm/s^2]
0.000000000E0	1.421085472E-14	-1.181757386E-1	0		0
3.333300000E-2	-7.237236909E-4	-1.126592303E-1	1.463894434E-1	0
6.666600000E-2	-3.433806544E-3	-1.090405905E-1	3.613009248E-1	7.667646553E1
9.999900000E-2	-2.347075928E-2	-1.205795365E-1	4.652731912E0	1.122057072E2
1.333320000E-1	-3.132403567E-1	-1.242369523E-1	8.909939614E0	8.459104086E1
1.666650000E-1	-6.170087486E-1	-1.437488293E-1	9.678167823E0	4.061931852E1
1.999980000E-1	-9.584341683E-1	-1.279915545E-1	1.154621910E1	5.425173441E1
2.333310000E-1	-1.386700737E0	-1.351299506E-1	1.349396628E1	3.402939756E1
2.666640000E-1	-1.857964736E0	-1.382232421E-1	1.384068963E1	2.069751084E1
2.999970000E-1	-2.309394766E0	-1.392917726E-1	1.455016935E1	1.741643050E1
3.333300000E-1	-2.827953698E0	-1.431727890E-1	1.533881657E1	5.150208706E1
3.666630000E-1	-3.331938269E0	-1.309479207E-1	1.744446718E1	3.628127555E1
3.999960000E-1	-3.990879632E0	-1.352606911E-1	1.861022919E1	2.185547431E1
4.333290000E-1	-4.572550215E0	-1.189936273E-1	1.812170032E1	1.892114892E1
4.666620000E-1	-5.198974143E0	-1.312185846E-1	1.996899601E1	4.239706804E1
4.999950000E-1	-5.903451301E0	-1.496054260E-1	2.112602216E1	2.577916073E1
5.333280000E-1	-6.606917403E0	-1.665856436E-1	2.143448154E1	1.501683769E1
5.666610000E-1	-7.332357654E0	-1.609197393E-1	2.202879762E1	3.464190818E1
5.999940000E-1	-8.074402357E0	-2.230755019E-1	2.353235424E1	5.744206515E1
6.333270000E-1	-8.898988639E0	-2.435373686E-1	2.595422319E1	4.295507756E1
6.666600000E-1	-9.804653710E0	-2.297543191E-1	2.637922335E1	2.708590074E1
6.999930000E-1	-1.065757871E1	-2.384929294E-1	2.651412701E1	2.758879048E1
7.333260000E-1	-1.156917862E1	-3.338169842E-1	2.797805304E1	3.115076660E1
7.666590000E-1	-1.251913530E1	-3.547757464E-1	2.858739728E1	3.159638892E1
7.999920000E-1	-1.347395185E1	-3.965936354E-1	2.902128907E1	2.841177416E1
8.333250000E-1	-1.445369214E1	-3.809025664E-1	3.034165020E1	5.132785707E1
8.666580000E-1	-1.549670790E1	-3.978601797E-1	3.249115686E1	4.673372368E1
8.999910000E-1	-1.661942568E1	-4.182455631E-1	3.366554977E1	2.682200930E1
9.333240000E-1	-1.774105258E1	-4.014481337E-1	3.391631477E1	2.295969193E1
9.666570000E-1	-1.888037790E1	-3.956580854E-1	3.510575637E1	3.370991170E1
9.999900000E-1	-2.008139005E1	-3.910983527E-1	3.609700094E1	1.664885759E1
1.033323000E0	-2.128644944E1	-4.379196491E-1	3.610475458E1	2.934272022E1
1.066656000E0	-2.248825917E1	-4.119648491E-1	3.777868211E1	3.947174672E1
1.099989000E0	-2.380499165E1	-4.455019061E-1	3.917213667E1	5.066616343E1
1.133322000E0	-2.509777673E1	-5.124009893E-1	3.979412484E1	3.365587483E1
1.166655000E0	-2.645298977E1	-6.069472965E-1	4.158357086E1	3.963987047E1
1.199988000E0	-2.786828051E1	-6.096580523E-1	4.222074223E1	2.810058733E1
1.233321000E0	-2.926734089E1	-6.504937885E-1	4.249795262E1	2.013293758E1
1.266654000E0	-3.070125799E1	-6.425577985E-1	4.364432691E1	2.390179979E1
1.299987000E0	-3.217691522E1	-6.608347247E-1	4.396032379E1	2.634978271E1
1.333320000E0	-3.363191007E1	-6.362124153E-1	4.493574731E1	4.893036092E1
1.366653000E0	-3.517250741E1	-6.846090394E-1	4.711730161E1	3.897440514E1
1.399986000E0	-3.677056012E1	-7.608056945E-1	4.754476808E1	1.996579549E1
1.433319000E0	-3.834100248E1	-7.690293789E-1	4.804666121E1	2.384676357E1
1.466652000E0	-3.997258540E1	-8.429477902E-1	4.935028306E1	4.356919639E1
1.499985000E0	-4.162767190E1	-9.167176751E-1	5.042814595E1	2.657780335E1
1.533318000E0	-4.333003138E1	-1.014829743E0	5.126256749E1	3.779415894E1
1.566651000E0	-4.504131913E1	-1.078321984E0	5.248019172E1	4.522862303E1
1.599984000E0	-4.682732106E1	-1.112184399E0	5.363657950E1	3.271425948E1
1.633317000E0	-4.861698322E1	-1.101032063E0	5.429958538E1	9.681195917E0
1.666650000E0	-5.044709282E1	-1.146684107E0	5.413154056E1	2.022828046E1
1.699983000E0	-5.222568231E1	-1.116742795E0	5.457616363E1	4.399481386E1
1.733316000E0	-5.408493867E1	-1.208706251E0	5.660550889E1	6.224321182E1
1.766649000E0	-5.599408240E1	-1.315971492E0	5.731179801E1	2.241928761E1
1.799982000E0	-5.789680504E1	-1.469076201E0	5.784894610E1	3.680684159E1
1.833315000E0	-5.984509234E1	-1.522758421E0	5.859506231E1	4.678194822E1
1.866648000E0	-6.180215221E1	-1.555278833E0	5.911572836E1	9.572248889E1
1.899981000E0	-6.378594071E1	-1.558356048E0	6.436564152E1	6.955184796E1
1.933314000E0	-6.609278704E1	-1.611248045E0	6.556861756E1	3.039290870E1
1.966647000E0	-6.815601290E1	-1.657534365E0	6.123121454E1	6.542808526E1
1.999980000E0	-7.017273802E1	-1.741830373E0	6.146312528E1	4.811590577E1
2.033313000E0	-7.225068496E1	-1.809760509E0	6.352869138E1	4.431697560E1
2.066646000E0	-7.439938054E1	-2.010984020E0	6.457526757E1	3.266022630E1
2.099979000E0	-7.655128182E1	-2.003859782E0	6.402425967E1	3.955625805E1
2.133312000E0	-7.866739136E1	-2.055339956E0	6.372037198E1	9.118704773E0
2.166645000E0	-8.079862488E1	-2.077553193E0	6.377095212E1	6.924363847E1
2.199978000E0	-8.291838618E1	-2.110624108E0	6.320204359E1	7.752274325E1
2.233311000E0	-8.499790001E1	-2.422602642E0	6.484687622E1	6.643126641E1
2.266644000E0	-8.721369511E1	-2.599866250E0	6.739727914E1	1.516833732E2
2.299977000E0	-8.948857808E1	-2.570322315E0	6.821594257E1	4.853465385E1
2.333310000E0	-9.175851121E1	-2.438383490E0	6.800709721E1	4.549097009E1
2.366643000E0	-9.402150740E1	-2.483478379E0	6.697476815E1	5.469246658E1
2.399976000E0	-9.622261918E1	-2.524570642E0	6.753174058E1	2.127937566E1
2.433309000E0	-9.852187492E1	-2.607315635E0	6.807374810E1	2.156427540E1
2.466642000E0	-1.007569688E2	-2.711581972E0	6.755405559E1	7.791036292E1
2.499975000E0	-1.030204025E2	-2.820130443E0	6.374726661E1	5.091231668E2
2.533308000E0	-1.050025101E2	-2.901237580E0	3.574322434E1	
2.566641000E0	-1.054018492E2	-2.902125458E0		
