Video 1 parte 2
t	        x	        y	        v	        a
0.000000000E0	-2.068462208E-3	6.971419325E-3		
3.333300000E-2	-3.103967090E-2	2.855142363E-2	2.961409639E0	
6.666600000E-2	-1.990142265E-1	2.072383092E-2	3.851807874E0	2.559353540E1
9.999900000E-2	-2.862877777E-1	5.024136353E-4	3.808975869E0	3.763271793E1
1.333320000E-1	-4.524834071E-1	5.446212766E-3	6.551586007E0	7.668821794E1
1.666650000E-1	-7.225096353E-1	2.233828705E-2	9.053909066E0	4.984600076E1
1.999980000E-1	-1.056054742E0	9.742004157E-4	9.927307154E0	2.112913419E1
2.333310000E-1	-1.384287755E0	2.921611232E-2	1.022032196E1	2.582822997E1
2.666640000E-1	-1.736071875E0	4.353914341E-2	1.159505097E1	1.177512932E1
2.999970000E-1	-2.157133334E0	1.398413305E-2	1.126969114E1	1.900900092E1
3.333300000E-1	-2.487345705E0	3.667035772E-2	1.199800915E1	4.214640287E1
3.666630000E-1	-2.956983121E0	1.008767019E-2	1.478043664E1	6.303652405E1
3.999960000E-1	-3.472228006E0	6.230636033E-3	1.601252280E1	5.513498248E1
4.333290000E-1	-4.024462826E0	5.210813969E-3	1.819638494E1	5.841996840E1
4.666620000E-1	-4.685200573E0	2.238980767E-2	2.023280775E1	4.512858803E1
4.999950000E-1	-5.373251486E0	1.702063482E-2	2.102552666E1	1.385624071E1
5.333280000E-1	-6.086866581E0	1.458084948E-2	2.123041416E1	1.241121308E1
5.666610000E-1	-6.788481303E0	3.521681015E-2	2.164356014E1	2.270870190E1
5.999940000E-1	-7.529742378E0	8.274066066E-3	2.283802918E1	6.103086067E1
6.333270000E-1	-8.310888337E0	1.666594417E-2	2.549991999E1	6.068861220E1
6.666600000E-1	-9.229546800E0	3.254322939E-2	2.737340694E1	3.070417102E1
6.999930000E-1	-1.013566813E1	3.536031989E-2	2.719573310E1	1.671313531E1
7.333260000E-1	-1.104248258E1	5.109935845E-2	2.835341669E1	4.926304470E1
7.666590000E-1	-1.202574108E1	5.802802767E-2	3.058535305E1	4.691313205E1
7.999920000E-1	-1.308134242E1	2.692534478E-2	3.156513228E1	3.542418280E1
8.333250000E-1	-1.412972871E1	2.056629969E-2	3.259483013E1	2.999773880E1
8.666580000E-1	-1.525429528E1	1.910010814E-2	3.375899835E1	5.704541179E1
8.999910000E-1	-1.638029233E1	2.843846977E-2	3.593232577E1	4.824664891E1
9.333240000E-1	-1.764974858E1	1.179965273E-2	3.764103251E1	3.898145712E1
9.666570000E-1	-1.888965213E1	3.774936048E-2	3.798055622E1	7.330195932E0
9.999900000E-1	-2.018164008E1	3.647763649E-2	3.845224021E1	3.352649527E1
1.033323000E0	-2.145310906E1	3.849911102E-2	3.976013104E1	4.693200557E1
1.066656000E0	-2.283227847E1	4.393873571E-2	4.199141769E1	5.610763050E1
1.099989000E0	-2.425249055E1	2.835924829E-2	4.333430806E1	4.581262846E1
1.133322000E0	-2.572115039E1	2.642847221E-2	4.502645281E1	5.468227433E1
1.166655000E0	-2.725422405E1	2.823162809E-2	4.700292933E1	3.816455368E1
1.199988000E0	-2.885464261E1	2.079337386E-2	4.768177240E1	2.693142491E1
1.233321000E0	-3.043279105E1	6.262212379E-2	4.837488229E1	2.345324736E1
1.266654000E0	-3.207960188E1	1.878138654E-2	4.942598670E1	4.588873730E1
1.299987000E0	-3.372746194E1	1.378450667E-2	5.105852077E1	4.085781187E1
1.333320000E0	-3.548344891E1	3.054065469E-2	5.250819435E1	4.228250900E1
1.366653000E0	-3.722796145E1	2.286414196E-2	5.343802090E1	4.692834670E1
1.399986000E0	-3.904594558E1	2.637468410E-2	5.578708583E1	3.942560524E1
1.433319000E0	-4.094706328E1	2.239906849E-2	5.635867631E1	3.144948202E1
1.466652000E0	-4.280315305E1	2.578291746E-2	5.727754056E1	2.987045770E1
1.499985000E0	-4.476550328E1	3.608351402E-2	5.889779107E1	3.880281001E1
1.533318000E0	-4.672963310E1	2.659268149E-2	5.953705891E1	3.828326802E1
1.566651000E0	-4.873457303E1	2.122312033E-2	6.141675758E1	5.144417749E1
1.599984000E0	-5.082400561E1	9.173975388E-3	6.315558788E1	4.169361319E1
1.633317000E0	-5.294490288E1	2.342390259E-2	6.408291856E1	2.011114757E1
1.666650000E0	-5.509615730E1	1.035861859E-2	6.455617913E1	2.573283314E1
1.699983000E0	-5.724858279E1	9.562849689E-3	6.558910439E1	2.989181409E1
1.733316000E0	-5.946872052E1	1.069230014E-2	6.677662953E1	4.325868257E1
1.766649000E0	-6.170030473E1	1.843959053E-2	6.819371230E1	3.962401091E1
1.799982000E0	-6.401491770E1	4.059313179E-3	6.971038061E1	4.898337420E1
1.833315000E0	-6.634761696E1	1.835752972E-2	7.118598363E1	2.522699948E1
1.866648000E0	-6.876058617E1	1.650415025E-2	7.178407791E1	2.094817286E1
1.899981000E0	-7.113316712E1	1.006690186E-2	7.203582801E1	1.717718095E1
1.933314000E0	-7.356289690E1	-4.070849500E-4	7.320591015E1	4.535513912E1
1.966647000E0	-7.601351208E1	8.529549425E-3	7.478556162E1	2.940296379E1
1.999980000E0	-7.854847236E1	2.762324895E-2	7.555205865E1	5.073406353E1
2.033313000E0	-8.105026543E1	7.131251333E-3	7.747250643E1	8.219782542E0
2.066646000E0	-8.371322878E1	1.133270788E-2	7.723323124E1	1.349273158E1
2.099979000E0	-8.619909313E1	1.258403757E-2	7.688993069E1	1.879269027E1
2.133312000E0	-8.883917279E1	1.028220555E-2	7.947399535E1	7.032120714E1
2.166645000E0	-9.149730167E1	5.422654628E-3	8.112574057E1	4.575655432E1
2.199978000E0	-9.424749164E1	0.000000000E0	8.191175137E1	6.556014637E1
2.233311000E0	-9.695652174E1	1.337792642E-1	8.431909819E1	2.383194265E1
2.266644000E0	-9.986622074E1	1.672240803E-1	8.381764430E1	4.427258696E1
2.299977000E0	-1.025418060E2	3.010033445E-1	8.029344116E1	4.631385820E1
2.333310000E0	-1.052173913E2	3.010033445E-1	8.278282821E1	1.088706916E2
2.366643000E0	-1.080602007E2	2.341137124E-1	8.779495343E1	1.359821699E1
2.399976000E0	-1.110702341E2	3.344481605E-1	8.378610991E1	6.753400831E2
2.433309000E0	-1.136454849E2	3.010033445E-1	4.517603008E1	
2.466642000E0	-1.140802676E2	2.341137124E-1		
