video 3 parte2
t	        x	        y	        v	        a
0.000000000E0	-1.184123669E-1	-1.254614752E-1		
3.333300000E-2	-3.955640093E-1	-1.313293872E-1	1.109647375E1	
6.666600000E-2	-8.579287561E-1	-1.443478854E-1	1.526453231E1	1.308532523E2
9.999900000E-2	-1.412918020E0	-1.078327580E-1	1.941715655E1	1.250955404E2
1.333320000E-1	-2.152041600E0	-1.141915632E-1	2.392971729E1	1.291191874E2
1.666650000E-1	-3.008005633E0	-1.337733409E-1	2.782313724E1	1.335436437E2
1.999980000E-1	-4.006636423E0	-8.299022000E-2	3.278686703E1	1.478938034E2
2.333310000E-1	-5.193752097E0	-1.237868669E-1	3.786068915E1	1.517660061E2
2.666640000E-1	-6.530572106E0	-1.037067915E-1	4.276272755E1	1.414359538E2
2.999970000E-1	-8.044426258E0	-9.495153449E-2	4.743139484E1	1.195337747E2
3.333300000E-1	-9.692629419E0	-1.087712474E-1	5.073312637E1	1.333251384E2
3.666630000E-1	-1.142659792E1	-9.941167202E-2	5.585100371E1	1.491151194E2
3.999960000E-1	-1.341595773E1	-9.269677740E-2	6.134494138E1	1.503577821E2
4.333290000E-1	-1.551617073E1	-1.194409669E-1	6.544654140E1	1.297055588E2
4.666620000E-1	-1.777894948E1	-1.169446705E-1	7.012718821E1	1.401157192E2
4.999950000E-1	-2.019126400E1	-1.120338997E-1	7.471504007E1	1.530086557E2
5.333280000E-1	-2.275986069E1	-9.657493649E-2	8.022122917E1	1.510740443E2
5.666610000E-1	-2.553929109E1	-1.158600476E-1	8.510551079E1	1.400193622E2
5.999940000E-1	-2.843347338E1	-7.772895765E-2	8.922700671E1	1.315771786E2
6.333270000E-1	-3.148767761E1	-1.317068031E-1	9.397961538E1	1.409058608E2
6.666600000E-1	-3.469858246E1	-1.190032728E-1	9.862160847E1	1.475127974E2
6.999930000E-1	-3.806236733E1	-1.161388761E-1	1.037037379E2	1.404773357E2
7.333260000E-1	-4.161209549E1	-1.212551191E-1	1.081702672E2	1.385754466E2
7.666590000E-1	-4.527351391E1	-1.598458728E-1	1.125881497E2	1.383583609E2
7.999920000E-1	-4.911782409E1	-8.815575638E-2	1.176076712E2	1.435044939E2
8.333250000E-1	-5.311389642E1	-1.317043021E-1	1.219224581E2	1.271836638E2
8.666580000E-1	-5.724463765E1	-2.317797725E-1	1.259030999E2	1.168561845E2
8.999910000E-1	-6.150680216E1	-2.278174398E-1	1.293847223E2	1.189798518E2
9.333240000E-1	-6.587007376E1	-1.851956812E-1	1.333690895E2	1.083142000E2
9.666570000E-1	-7.039789459E1	-1.875249584E-1	1.369197614E2	1.180051782E2
9.999900000E-1	-7.499796499E1	-1.905679822E-1	1.406533804E2	1.095342759E2
1.033323000E0	-7.977454420E1	-2.403232960E-1	1.446257024E2	9.829505848E1
1.066656000E0	-8.463957849E1	-1.988659372E-1	1.470177424E2	7.823901832E1
1.099989000E0	-8.957557412E1	-2.075198320E-1	1.497124077E2	7.982047092E1
1.133322000E0	-9.462029641E1	-2.126031618E-1	1.524729759E2	9.997750290E1
1.166655000E0	-9.974033338E1	-1.983282260E-1	1.558001893E2	1.516116137E2
1.199988000E0	-1.050060414E2	-3.439402335E-1	1.447295134E2	
1.233321000E0	-1.093887477E2	-2.471387933E-1		
