video 4 parte 2
t	        x	        y	        v	        a
0.000000000E0	-1.440295356E0	-7.925498867E-1		
3.333300000E-2	-1.881599411E0	-8.150307232E-1	1.459767422E1	
6.666600000E-2	-2.413405898E0	-8.031752029E-1	1.763140939E1	1.316551576E2
9.999900000E-2	-3.056268053E0	-7.731347790E-1	2.309990098E1	1.770666533E2
1.333320000E-1	-3.953108861E0	-7.740715293E-1	2.983628623E1	1.780978339E2
1.666650000E-1	-5.045280003E0	-7.877789184E-1	3.492986599E1	1.705440543E2
1.999980000E-1	-6.281642569E0	-7.957315248E-1	4.086166275E1	1.699758222E2
2.333310000E-1	-7.769356435E0	-7.815260379E-1	4.671993363E1	1.614979227E2
2.666640000E-1	-9.396219182E0	-7.773090149E-1	5.132362375E1	1.603340572E2
2.999970000E-1	-1.119085737E1	-7.650309464E-1	5.732663947E1	1.699278465E2
3.333300000E-1	-1.321795340E1	-7.721173183E-1	6.297892768E1	1.783038601E2
3.666630000E-1	-1.538940094E1	-7.560410867E-1	6.880854527E1	1.857055300E2
3.999960000E-1	-1.780514183E1	-7.677830491E-1	7.564310096E1	2.093815373E2
4.333290000E-1	-2.043220354E1	-7.703754040E-1	8.260019872E1	1.917839770E2
4.666620000E-1	-2.331161655E1	-7.271209253E-1	8.872205794E1	1.930429662E2
4.999950000E-1	-2.634691683E1	-7.510964236E-1	9.502785181E1	1.788671065E2
5.333280000E-1	-2.964674093E1	-7.216239691E-1	1.011339293E2	2.014858909E2
5.666610000E-1	-3.308907395E1	-7.286347359E-1	1.078437527E2	1.965439368E2
5.999940000E-1	-3.683624100E1	-7.087371753E-1	1.148851682E2	2.002526148E2
6.333270000E-1	-4.074794901E1	-6.984278725E-1	1.207576171E2	1.733485700E2
6.666600000E-1	-4.488666747E1	-7.123955290E-1	1.266916040E2	1.933677157E2
6.999930000E-1	-4.919396825E1	-7.058178628E-1	1.333016734E2	1.946077531E2
7.333260000E-1	-5.377335503E1	-7.067264808E-1	1.400835424E2	1.816354197E2
7.666590000E-1	-5.853277727E1	-7.086053538E-1	1.452267267E2	1.738961504E2
7.999920000E-1	-6.345495721E1	-7.467619866E-1	1.514356622E2	1.940912992E2
8.333250000E-1	-6.862822322E1	-7.661324252E-1	1.584285036E2	1.787214847E2
8.666580000E-1	-7.401663234E1	-7.970033131E-1	1.634540926E2	1.431217349E2
8.999910000E-1	-7.952503143E1	-7.881901516E-1	1.676264221E2	1.413302448E2
9.333240000E-1	-8.519157478E1	-7.668743233E-1	1.728438961E2	1.309926157E2
9.666570000E-1	-9.104777653E1	-7.491661176E-1	1.766551999E2	1.302744547E2
9.999900000E-1	-9.696845333E1	-7.868874639E-1	1.808790980E2	1.182172424E2
1.033323000E0	-1.031061766E2	-7.946662916E-1	1.851782404E2	5.274583791E2
1.066656000E0	-1.093135410E2	-7.978913523E-1	1.513231955E2	
1.099989000E0	-1.131879195E2	-4.362416107E-1		
