t	x	y	v	a	dt[s]	dx[cm]
0.000000000E0	-3.367003367E-2	-3.367003367E-2	0	0	0.016	0.125
3.333300000E-2	-1.127347255E-1	-4.568001558E-2	3.853720148E0	0	0.016	0.125
6.666600000E-2	-2.904586837E-1	-4.163370934E-2	7.070452641E0	1.359196421E2	0.016	0.125
9.999900000E-2	-5.840353884E-1	-5.308268307E-2	1.265471306E1	1.606409085E2	0.016	0.125
1.333320000E-1	-1.133478755E0	-7.394612775E-2	1.828687264E1	1.836383844E2	0.016	0.125
1.666650000E-1	-1.800023961E0	3.413800241E-2	2.424011116E1	2.126918908E2	0.016	0.125
1.999980000E-1	-2.749182731E0	-4.347673830E-2	3.276453345E1	2.477753568E2	0.016	0.125
2.333310000E-1	-3.984115540E0	5.418931999E-3	4.068292009E1	2.409406119E2	0.016	0.125
2.666640000E-1	-5.460936258E0	-9.086485988E-2	4.859101487E1	2.204055379E2	0.016	0.125
2.999970000E-1	-7.223351714E0	-2.387125236E-2	5.567808353E1	2.126320580E2	0.016	0.125
3.333300000E-1	-9.172601772E0	-5.538189881E-2	6.239142119E1	2.273605624E2	0.016	0.125
3.666630000E-1	-1.138242733E1	-7.472331411E-2	7.084250783E1	2.644218991E2	0.016	0.125
3.999960000E-1	-1.389524575E1	-9.208822334E-2	8.006550353E1	2.408578774E2	0.016	0.125
4.333290000E-1	-1.672007419E1	-7.467601075E-2	8.720426629E1	2.199828939E2	0.016	0.125
4.666620000E-1	-1.970866805E1	-5.213066558E-2	9.412368431E1	2.301738849E2	0.016	0.125
4.999950000E-1	-2.299489053E1	-5.426465859E-2	1.028619303E2	2.684082873E2	0.016	0.125
5.333280000E-1	-2.656600734E1	-2.487915024E-2	1.119110666E2	2.529943382E2	0.016	0.125
5.666610000E-1	-3.045554990E1	-4.674340535E-2	1.199973842E2	2.420235664E2	0.016	0.125
5.999940000E-1	-3.456566996E1	-6.132009301E-2	1.276692121E2	2.373477923E2	0.016	0.125
6.333270000E-1	-3.896668489E1	-7.888959568E-2	1.360169415E2	2.382484216E2	0.016	0.125
6.666600000E-1	-4.363307276E1	-1.354021663E-1	1.435576594E2	2.218700897E2	0.016	0.125
6.999930000E-1	-4.853685404E1	-1.474769903E-1	1.506449361E2	2.173673020E2	0.016	0.125
7.333260000E-1	-5.367462379E1	-2.997166399E-1	1.579539499E2	2.224686768E2	0.016	0.125
7.666590000E-1	-5.906453297E1	-3.759596169E-1	1.654140864E2	1.901139936E2	0.016	0.125
7.999920000E-1	-6.469943450E1	-5.430381567E-1	1.708267576E2	1.880970924E2	0.016	0.125
8.333250000E-1	-7.045098887E1	-5.829210730E-1	1.770271214E2	1.898057220E2	0.016	0.125
8.666580000E-1	-7.650104825E1	-5.854823821E-1	1.840168654E2	1.774368935E2	0.016	0.125
8.999910000E-1	-8.271832259E1	-6.735310317E-1	1.886009262E2	1.588774396E2	0.016	0.125
9.333240000E-1	-8.907344996E1	-7.331891400E-1	1.939436575E2	1.529073864E2	0.016	0.125
9.666570000E-1	-9.564519993E1	-9.313377543E-1	1.991366049E2	9.895399068E1	0.016	0.125
9.999900000E-1	-1.023463231E2	-1.004258765E0	2.003766701E2	1.119086274E3	0.016	0.125
1.033323000E0	-1.090032836E2	-1.009292977E0	1.335737330E2	0	0.016	0.125
1.066656000E0	-1.112457912E2	-1.313131313E0	0	0	0.016	0.125
