t	        x	        y	        v	        a
0.000000000E0	3.533368057E-1	-3.885462931E0		0	0
3.333300000E-2	3.462314862E-1	-3.888141691E0	1.111232797E0	0	
6.666600000E-2	3.019537309E-1	-3.832097772E0	2.506991320E0	6.441636111E1
9.999900000E-2	3.220957956E-1	-3.722762528E0	4.613387315E0	5.139190107E1
1.333320000E-1	4.406522349E-1	-3.557591913E0	4.940409743E0	3.515049811E1
1.666650000E-1	5.395734723E-1	-3.475417166E0	2.960746403E0	2.190095481E1
1.999980000E-1	6.094674785E-1	-3.455314252E0	3.361711545E0	7.227518392E1
2.333310000E-1	7.188339826E-1	-3.340911419E0	7.217373644E0	4.574852891E1
2.666640000E-1	8.274404745E-1	-3.026366239E0	6.369921190E0	4.661858251E1
2.999970000E-1	8.465960833E-1	-2.935929254E0	3.229634021E0	3.949139372E1
3.333300000E-1	8.514507251E-1	-2.812402415E0	6.629984797E0	3.502611033E1
3.666630000E-1	8.148540126E-1	-2.495075947E0	6.624571668E0	3.339972775E1
3.999960000E-1	8.106618569E-1	-2.372656365E0	7.102140200E0	2.283164556E1
4.333290000E-1	7.857741204E-1	-2.022498534E0	9.667829935E0	4.639168904E1
4.666620000E-1	7.584410103E-1	-1.730259853E0	9.342244781E0	2.544530795E1
4.999950000E-1	7.769176180E-1	-1.399751417E0	1.053713410E1	1.133651713E2
5.333280000E-1	8.204067187E-1	-1.030529649E0	1.614531186E1	1.650560878E2
5.666610000E-1	6.845238095E-1	-3.273809524E-1	2.263003309E1	8.354372741E0
5.999940000E-1	7.440476190E-1	4.761904762E-1	1.652405410E1	4.570967885E1
6.333270000E-1	7.142857143E-1	7.738095238E-1	1.652405410E1	1.191790022E2
6.666600000E-1	7.142857143E-1	1.577380952E0	2.723241518E1	1.348030656E2
6.999930000E-1	7.142857143E-1	2.589285714E0	2.592772998E1	6.898514134E1
7.333260000E-1	6.250000000E-1	3.303571429E0	2.903188048E1	4.794725009E1
7.666590000E-1	6.547619048E-1	4.523809524E0	3.215557710E1	1.040949684E2
7.999920000E-1	6.845238095E-1	5.446428571E0	3.260184036E1	1.285762778E2
8.333250000E-1	7.142857143E-1	6.696428571E0	4.078209154E1	4.493453624E2
8.666580000E-1	4.464285714E-1	8.154761905E0	6.037418825E1	6.008260662E2
8.999910000E-1	4.761904762E-1	1.071428571E1	8.394840572E1	7.748288918E2
9.333240000E-1	3.273809524E-1	1.375000000E1	1.089442969E2	7.819772583E2
9.666570000E-1	3.571428571E-1	1.797619048E1	1.384122412E2	1.308973743E3
9.999900000E-1	4.761904762E-1	2.297619048E1	1.910738608E2	2.299434310E3
1.033323000E0	3.869047619E-1	3.071428571E1	2.929702979E2	0
1.066656000E0	1.011904762E0	4.250000000E1		0	0
