t[s]	x[cm]	y[cm]
4.104744444E0	-2.686924710E0	5.332124760E-1
4.137777778E0	-2.122336325E0	3.755475787E-1
4.172633333E0	-1.596003357E0	2.350768900E-1
4.204444444E0	-1.011302525E0	2.695879689E-1
4.238977778E0	-4.162545528E-1	2.755697740E-1
4.270488889E0	8.285845851E-2	2.790394338E-1
4.303111111E0	3.221934317E-1	3.045067894E-1
4.336400000E0	5.678561121E-1	4.549408087E-1
4.369922222E0	7.375244673E-1	5.745846235E-1
4.402077778E0	8.319521410E-1	6.346577454E-1
4.504666667E0	-3.838623736E-1	8.716226044E-1
4.535155556E0	-7.249575857E-1	6.994894475E-1
4.568522222E0	-1.146820199E0	6.788425118E-1
4.600555556E0	-1.454314503E0	6.899906389E-1
4.634244444E0	-1.588372234E0	6.768801393E-1
4.667288889E0	-1.711329181E0	6.064598777E-1
4.700500000E0	-1.534124390E0	4.382988097E-1
4.733288889E0	-1.169320324E0	4.382514660E-1
4.771444444E0	-7.653886301E-1	4.104284921E-1
4.800400000E0	-9.183418742E-2	3.512655409E-1
4.832877778E0	4.289779614E-1	2.593026689E-1
4.867466667E0	8.203015849E-1	3.463504336E-1
4.898855556E0	1.221469919E0	4.240559167E-1
4.932744444E0	1.568091851E0	3.851321596E-1
4.965733333E0	1.726156994E0	5.812727285E-1
5.001200000E0	1.809986313E0	6.794686203E-1
5.034133333E0	1.449751453E0	8.716371004E-1
5.064800000E0	1.082184027E0	9.772129011E-1
5.196955556E0	-1.350748419E0	1.134306034E0
5.236888889E0	-2.003357368E0	1.126816941E0
5.262955556E0	-2.509300515E0	1.017567610E0
5.295622222E0	-2.845072878E0	1.008775101E0
5.330888889E0	-3.032420938E0	8.310678807E-1
5.365211111E0	-2.963256749E0	7.560784137E-1
5.394944444E0	-2.823923513E0	5.677254954E-1
5.427922222E0	-2.495734930E0	4.995188209E-1
5.461500000E0	-2.023392691E0	4.254868683E-1
5.494611111E0	-1.305937544E0	1.562718613E-1
5.532611111E0	-7.555912632E-1	3.628214455E-2
5.565088889E0	-1.113197379E-1	-4.447458073E-3
5.593777778E0	2.807575292E-1	5.381981837E-2
5.628555556E0	6.766503580E-1	3.329887194E-1
5.659600000E0	6.721284964E-1	5.056716491E-1
5.692944444E0	7.360171801E-1	6.321456000E-1
5.729255556E0	6.002009476E-1	6.861895731E-1
5.825644444E0	-6.514754060E-1	8.262146130E-1
5.858566667E0	-1.094032299E0	8.626262248E-1
5.898333333E0	-1.467173788E0	8.144548735E-1
5.925577778E0	-1.693147047E0	6.453362911E-1
5.957588889E0	-1.770146231E0	6.529200709E-1
5.993077778E0	-1.721173892E0	6.158021592E-1
6.030622222E0	-1.382386954E0	5.094727149E-1
6.058044444E0	-1.045609733E0	4.798912393E-1
6.090733333E0	-5.631715686E-1	3.869235091E-1
6.124011111E0	-4.990293525E-3	3.343394796E-1
6.156755556E0	6.473674407E-1	3.514220680E-1
6.190644444E0	1.097759328E0	3.824161434E-1
6.226155556E0	1.420923621E0	5.060793907E-1
6.256722222E0	1.743585484E0	6.489296302E-1
6.289522222E0	1.600939115E0	5.971939317E-1
6.322633333E0	1.614348173E0	8.183467709E-1
6.355488889E0	1.298014017E0	8.004631951E-1
6.488377778E0	-1.175553344E0	1.042892934E0
6.522833333E0	-1.867289921E0	1.063179472E0
6.554933333E0	-2.357814294E0	1.098335011E0
6.586588889E0	-2.866772016E0	1.104207633E0
6.621233333E0	-3.200785877E0	1.028260651E0
6.653833333E0	-3.099575411E0	8.293093789E-1
6.686433333E0	-3.241468136E0	7.487931921E-1
6.720566667E0	-3.006702368E0	5.821394114E-1
6.751977778E0	-2.602770674E0	5.543164375E-1
6.785577778E0	-1.983511419E0	3.689307499E-1
6.820277778E0	-1.308449689E0	2.522068222E-1
6.851622222E0	-7.156626479E-1	3.445300922E-1
6.891055556E0	-9.208540196E-2	3.608590370E-1
6.920166667E0	3.292747825E-1	4.006929649E-1
6.950988889E0	5.102951355E-1	4.534335215E-1
6.983977778E0	5.196374171E-1	4.632782321E-1
7.016966667E0	4.976870650E-1	5.683042601E-1
7.149488889E0	-1.093781084E0	8.530327287E-1
7.186755556E0	-1.323773776E0	8.374100837E-1
7.215811111E0	-1.783256730E0	7.869778016E-1
7.248588889E0	-1.946346164E0	7.827071545E-1
7.286800000E0	-2.144292578E0	6.431227040E-1
7.315800000E0	-2.007973917E0	5.698917388E-1
7.348966667E0	-1.758040589E0	5.572363245E-1
7.385388889E0	-1.161485330E0	5.056571531E-1
7.415300000E0	-6.199789015E-1	3.566357336E-1
7.450955556E0	6.141053551E-2	3.648784696E-1
7.487955556E0	4.726747948E-1	4.236481751E-1
7.515255556E0	9.712853770E-1	4.463048271E-1
7.547500000E0	1.268181327E0	4.732794699E-1
7.580788889E0	1.431270760E0	4.775501170E-1
7.612977778E0	1.360348070E0	6.196940566E-1
7.646288889E0	1.127089589E0	7.287868608E-1
7.679411111E0	1.028893697E0	8.126161803E-1
7.778355556E0	-1.130349223E0	1.149677464E0
7.812266667E0	-2.003106153E0	1.117223445E0
7.847555556E0	-2.444155759E0	1.096074080E0
7.877733333E0	-3.008162312E0	1.004504454E0
7.913733333E0	-3.412847649E0	1.061107916E0
7.944955556E0	-3.620638774E0	9.308657471E-1
7.977111111E0	-3.770868923E0	8.021308653E-1
8.010688889E0	-3.419725129E0	5.905241785E-1
8.045177778E0	-3.080686977E0	4.746012381E-1
8.076566667E0	-2.550281332E0	3.828895806E-1
8.110377778E0	-1.834584687E0	1.808290461E-1
8.144355556E0	-1.014615658E0	2.949935207E-2
8.175688889E0	-6.073708310E-1	2.417649950E-1
8.209922222E0	-2.147911349E-1	2.808452793E-1
8.241666667E0	3.403755658E-1	3.433832029E-1
8.278111111E0	5.405829110E-1	3.966261886E-1
8.309800000E0	5.489203344E-1	4.448448836E-1
