t[s]	x[cm]	y[cm]
3.694266667E0	9.257597970E0	4.659400994E0
3.961877778E0	-9.305151492E0	4.388423831E0
4.223666667E0	9.240014789E0	4.429720540E0
4.521244444E0	-9.503259265E0	4.278646800E0
4.788966667E0	9.117381401E0	4.739434862E0
5.050944444E0	-9.565115762E0	4.278862721E0
5.320444444E0	9.209950224E0	4.677254484E0
5.580644444E0	-9.533971593E0	4.340611256E0
5.845133333E0	9.147985767E0	4.646542157E0
6.109888889E0	-9.410042680E0	4.402035911E0
6.374900000E0	9.209734303E0	4.615397988E0
6.639933333E0	-9.348510065E0	4.309035246E0
6.909966667E0	9.271266918E0	4.522397323E0
7.170188889E0	-9.162616695E0	4.401172228E0
7.435055556E0	9.271050997E0	4.460540827E0
7.733955556E0	-9.596259930E0	4.217114185E0
8.001722222E0	9.024704617E0	4.770686991E0
8.261800000E0	-9.379870154E0	4.185430214E0
8.530511111E0	9.024380736E0	4.677902247E0
8.793088889E0	-9.472438978E0	4.247610591E0
