t[s]	x[cm]	y[cm]
9.567733333E0	8.644869432E0	3.970868341E0
9.832000000E0	-9.041318599E0	3.575946666E0
1.012987778E1	8.521863369E0	4.188602070E0
1.039804444E1	-9.041318599E0	3.575946666E0
1.065936667E1	8.946104100E0	4.005882774E0
1.092790000E1	-8.861967321E0	3.871567970E0
1.122788889E1	8.731738389E0	4.011496138E0
1.148705556E1	-8.996200111E0	3.660570278E0
1.178482222E1	8.560245820E0	4.015986829E0
1.205492222E1	-9.039073253E0	3.661692950E0
1.234817778E1	8.432749066E0	4.062227989E0
1.261317778E1	-9.128187556E0	3.535318869E0
1.291080000E1	8.347002782E0	4.064473335E0
1.318027778E1	-9.042441271E0	3.533073524E0
1.344082222E1	8.944981427E0	3.963009632E0
1.373811111E1	-9.089805105E0	3.362703628E0
1.400425556E1	8.924375686E0	3.952717383E0
1.430321111E1	-9.088383984E0	3.451444939E0
1.456672222E1	8.762327943E0	3.956960752E0
1.483588889E1	-8.976108786E0	3.610663769E0
1.509791111E1	8.895953273E0	3.899408697E0
1.539784444E1	-9.165871714E0	3.588606409E0
1.565848889E1	9.058708244E0	3.922173285E0
