t[s]	x[cm]	y[cm]
3.584155556E0	9.562680858E0	4.857106153E0
3.849488889E0	-9.547782065E0	4.378274604E0
4.115444444E0	9.592223695E0	4.907985666E0
4.377922222E0	-9.546807020E0	4.406196253E0
4.643477778E0	9.555855540E0	4.661654612E0
4.908222222E0	-9.463042074E0	4.403271116E0
5.173255556E0	9.358453908E0	4.612636633E0
5.438100000E0	-9.464992165E0	4.347427819E0
5.707922222E0	9.327607123E0	4.529846732E0
5.967944444E0	-9.493888859E0	4.320481216E0
6.266155556E0	9.491236833E0	4.412309864E0
6.529588889E0	-9.375376946E0	4.512032575E0
6.798055556E0	9.550005267E0	4.494124720E0
7.061733333E0	-9.429270152E0	4.569825963E0
7.324955556E0	9.522083618E0	4.495099765E0
7.591444444E0	-9.457191801E0	4.570801008E0
7.853977778E0	9.525008755E0	4.578864711E0
8.120866667E0	-9.540956747E0	4.573726145E0
8.385055556E0	9.468190412E0	4.552893153E0
8.649300000E0	-9.489013632E0	4.460089459E0
8.913844444E0	9.357478862E0	4.584714984E0
9.178377778E0	-9.465967210E0	4.319506170E0
9.476922222E0	9.065586785E0	4.231484005E0
9.709033333E0	-9.576678759E0	4.351328001E0
9.976277778E0	9.111059252E0	4.733098636E0
1.027670000E1	-9.372451809E0	4.595797521E0
1.053827778E1	9.411372069E0	4.526921596E0
1.080754444E1	-9.435120425E0	4.402296071E0
1.106580000E1	9.550980312E0	4.522046368E0
1.133895556E1	-9.548757111E0	4.350352955E0
1.159578889E1	9.193849152E0	4.702251851E0
