R[cm]	m[g]	T[s]	w[r/s]	dR[cm]	dm[g]	dT[s]	dw[r/s]	h_m[cm]	dh_m[cm]	h_e[cm]	dh_e[cm]
14.1	3.5	1.6017	7.8456	0.7	0.05	0.0308	0.1509	1.6	0.5	0	0.9
14.2	3.5	2.6698	4.7098	0.7	0.05	0.0571	0.1007	0.6	0.3	0	2.05
14.5	3.5	1.2699	9.8956	0.7	0.05	0.0343	0.2673	5.2	0.1	4.5	0.9
11.2	3.5	1.3187	9.5294	0.7	0.05	0.0268	0.1937	0.9	0.1	0.4	0.8
11.3	3.5	0.9466	13.2753	0.7	0.05	0.0104	0.1458	6.0	0.1	5.8	0.7
11.3	3.5	1.0924	11.5034	0.7	0.05	0.0206	0.2169	4.5	0.2	3.9	0.8
11.2	3.7	1.0861	11.5702	0.8	0.05	0.0105	0.1118	3.8	0.2	3.9	0.8
11.4	7.2	1.0742	11.6984	0.8	0.07	0.0165	0.1797	4.5	0.2	4.2	0.8
10.5	3.5	1.1427	10.9971	0.7	0.05	0.0174	0.1674	2.6	0.1	2.4	0.7
10.1	3.5	1.8109	6.9393	0.7	0.05	0.0471	0.1805	-0.03	0.03	0	1.3
10.5	3.5	0.8780	14.3125	0.7	0.05	0.0375	0.6113	5.6	0.3	5.7	0.8
