t[s]	y[cm]	v_{x}[cm/s]
2.306662222E1	1.020165137E0	1.123289591E2
2.309910000E1	1.107992408E0	8.802100129E1
2.313371111E1	1.236166581E0	5.742084037E1
2.316684444E1	1.388640334E0	5.450355040E1
2.319906667E1	1.390603097E0	7.500537857E1
2.323483333E1	1.268676006E0	9.659945858E1
2.326561111E1	1.364467139E0	7.523605024E1
2.330531111E1	1.452006018E0	6.347078579E1
2.333188889E1	1.469706507E0	7.833907763E1
2.336427778E1	1.382674013E0	8.299009185E1
2.339845556E1	1.353449715E0	8.155188893E1
2.343066667E1	1.333983248E0	6.849032781E1
2.346508889E1	1.379571254E0	7.840921102E1
2.349865556E1	1.394211395E0	1.046683301E2
2.353106667E1	1.590598783E0	9.036917347E1
2.356431111E1	1.541929223E0	4.185456214E1
2.359755556E1	1.518945221E0	3.720976414E1
2.362953333E1	1.426052429E0	9.241747940E1
2.366284444E1	1.133022305E0	1.135035459E2
2.369632222E1	1.245507948E0	8.657826854E1
2.373073333E1	1.362489115E0	8.375412518E1
2.376160000E1	1.389159448E0	7.286656696E1
2.379693333E1	1.431996702E0	6.247295771E1
2.382940000E1	1.316478702E0	8.257549665E1
2.386085556E1	1.231359773E0	8.691159871E1
2.389344444E1	1.118353329E0	7.092673052E1
2.392746667E1	1.121421170E0	6.933280495E1
2.395990000E1	1.022320944E0	8.503808972E1
2.399268889E1	9.255653101E-1	1.028614339E2
2.402901111E1	9.133782671E-1	1.122305747E2
2.405927778E1	1.039635557E0	9.170346771E1
