t[s]	y[cm/s]	v_{x}[cm]
1.421786667E1	8.209560103E-1	8.085466535E1
1.425086667E1	8.145790971E-1	6.439633497E1
1.428386667E1	7.717230744E-1	6.818347981E1
1.431686667E1	7.679637436E-1	9.035379259E1
1.435026667E1	7.720571596E-1	9.510611037E1
1.438355556E1	8.343848944E-1	8.513895265E1
1.441667778E1	9.250117940E-1	7.261376819E1
1.444980000E1	1.009749133E0	5.359192092E1
1.448606667E1	9.014604407E-1	7.116226181E1
1.451525556E1	8.085500440E-1	9.352468576E1
1.454855556E1	8.064267021E-1	6.396559160E1
1.458266667E1	8.224593936E-1	5.416821115E1
1.461550000E1	6.569179756E-1	1.142483830E2
1.464805556E1	5.882202151E-1	1.369067241E2
1.468121111E1	9.386146080E-1	8.347399987E1
1.471426667E1	9.585736730E-1	6.032976494E1
1.474752222E1	8.555201449E-1	7.016979176E1
1.478066667E1	6.323988038E-1	7.480027307E1
1.481356667E1	5.635340007E-1	8.547374993E1
1.484684444E1	5.666458234E-1	8.148168123E1
1.487991111E1	5.576513279E-1	6.802127538E1
1.491297778E1	6.762501946E-1	6.636243161E1
1.494625556E1	8.537377756E-1	5.959449948E1
1.497953333E1	8.740240384E-1	6.392209565E1
1.501226667E1	7.416897521E-1	8.856417106E1
1.504553333E1	6.852584649E-1	8.946033721E1
1.507934444E1	6.170480574E-1	7.321583060E1
1.511170000E1	5.797543971E-1	6.067047343E1
1.514527778E1	5.651975393E-1	6.094109841E1
1.517834444E1	6.535340544E-1	6.950470213E1
1.521092222E1	5.192365813E-1	8.179290876E1
1.524444444E1	5.851634917E-1	8.404183084E1
