t	y	v_{x}
1.216086667E1	2.081309916E0	1.095152068E2
1.219412222E1	2.086968538E0	1.023722254E2
1.222715556E1	2.085134329E0	8.200928072E1
1.225965556E1	1.995376350E0	8.539430906E1
1.229270000E1	1.856992966E0	1.095227526E2
1.232592222E1	1.920220050E0	1.021287552E2
1.236022222E1	1.972570444E0	8.162205603E1
1.239276667E1	1.995532346E0	9.132135883E1
1.242602222E1	2.163503072E0	9.140537463E1
1.245821111E1	2.103133584E0	7.206526986E1
1.249137778E1	2.038413420E0	8.042755258E1
1.252468889E1	2.011299692E0	9.726841139E1
1.255743333E1	2.149881927E0	9.124074431E1
1.259144444E1	2.341440242E0	9.061426479E1
1.262404444E1	2.424145945E0	8.864066728E1
1.265704444E1	2.558377503E0	7.929823306E1
1.269004444E1	2.580614293E0	8.269401228E1
1.272337778E1	2.440055570E0	8.983696340E1
1.275604444E1	2.383069941E0	9.127628759E1
1.278956667E1	2.077298664E0	8.848590811E1
1.282275556E1	2.019104515E0	8.691040109E1
1.285554444E1	2.016545193E0	9.634930759E1
1.288858889E1	2.019061661E0	1.054856603E2
1.292224444E1	1.967151821E0	1.074184345E2
1.295511111E1	2.081421353E0	9.774521732E1
1.298797778E1	2.078620327E0	8.330519982E1
1.302161111E1	2.074369076E0	8.900575792E1
