t	y	v_{x}
1.403675556E1	1.593578255E0	7.963222702E1
1.407021111E1	1.587508331E0	8.664407432E1
1.410335556E1	1.674154806E0	8.606343791E1
1.413614444E1	1.714443082E0	8.276070068E1
1.416961111E1	1.822270892E0	7.705334251E1
1.420328889E1	1.834385653E0	8.069963356E1
1.423551111E1	1.848831141E0	8.566196462E1
1.426843333E1	1.864608472E0	8.168879591E1
1.430178889E1	1.829033189E0	8.451623944E1
1.433476667E1	1.752094120E0	8.570632669E1
1.436860000E1	1.670493597E0	8.761699464E1
1.440147778E1	1.619064355E0	9.172204123E1
1.443388889E1	1.515616576E0	8.731545620E1
1.446760000E1	1.485035707E0	8.792887534E1
1.450034444E1	1.501811921E0	8.804315855E1
1.453476667E1	1.567610024E0	7.873963117E1
1.456757778E1	1.551884231E0	8.833031155E1
1.459956667E1	1.575985586E0	9.858841728E1
1.463215556E1	1.640784806E0	9.108558782E1
1.466553333E1	1.683736769E0	8.314233982E1
1.470127778E1	1.697183374E0	7.966865219E1
1.473227778E1	1.757987062E0	8.846929973E1
1.476544444E1	1.657202970E0	8.515597226E1
1.479838889E1	1.669650692E0	8.597455769E1
1.483092222E1	1.592711623E0	8.951927124E1
1.486447778E1	1.561464832E0	8.733264676E1
1.489727778E1	1.625931091E0	9.167362722E1
1.493027778E1	1.693393998E0	8.397725115E1
1.496458889E1	1.609462749E0	8.366557932E1
1.499785556E1	1.581545567E0	8.734940197E1
1.502980000E1	1.670346503E0	8.419485268E1
1.506273333E1	1.625705257E0	8.658650780E1
1.509633333E1	1.559519274E0	9.173565668E1
