t[s]	dt[s]	y[cm]	dy[cm]
1.178866667E0	0.02	8.935639616E0	0.125
1.211233333E0	0.02	8.811872203E0	0.125
1.243600000E0	0.02	8.539583893E0	0.125
1.278100000E0	0.02	8.044514240E0	0.125
1.309833333E0	0.02	7.574198069E0	0.125
1.343100000E0	0.02	7.029621451E0	0.125
1.376944444E0	0.02	5.717686870E0	0.125
1.409344444E0	0.02	5.519659008E0	0.125
1.443400000E0	0.02	4.579026667E0	0.125
1.475811111E0	0.02	3.737408256E0	0.125
1.509644444E0	0.02	2.747268950E0	0.125
1.543622222E0	0.02	1.781883126E0	0.125
1.574844444E0	0.02	7.422368540E-1	0.125
1.607944444E0	0.02	-7.462807397E-2	0.125
1.641344444E0	0.02	-1.015260415E0	0.125
1.674455556E0	0.02	-1.906385791E0	0.125
1.707211111E0	0.02	-2.723250719E0	0.125
1.740444444E0	0.02	-3.540115647E0	0.125
1.774222222E0	0.02	-4.109445748E0	0.125
1.806544444E0	0.02	-4.753036298E0	0.125
1.839900000E0	0.02	-5.198598986E0	0.125
1.874566667E0	0.02	-5.545147743E0	0.125
1.906100000E0	0.02	-5.842189535E0	0.125
1.938566667E0	0.02	-6.114477844E0	0.125
1.972700000E0	0.02	-6.163984809E0	0.125
2.005300000E0	0.02	-6.213491775E0	0.125
2.038033333E0	0.02	-6.040217396E0	0.125
2.070988889E0	0.02	-5.891696500E0	0.125
2.104511111E0	0.02	-5.569901225E0	0.125
2.137222222E0	0.02	-5.347119882E0	0.125
2.171133333E0	0.02	-4.827296746E0	0.125
2.203566667E0	0.02	-4.356980575E0	0.125
2.236477778E0	0.02	-3.911417887E0	0.125
2.269866667E0	0.02	-3.292580820E0	0.125
2.302822222E0	0.02	-2.574729823E0	0.125
2.336155556E0	0.02	-2.005399722E0	0.125
2.369722222E0	0.02	-1.262795242E0	0.125
2.402377778E0	0.02	-7.429721059E-1	0.125
2.435444444E0	0.02	-1.241350393E-1	0.125
2.468511111E0	0.02	5.689624753E-1	0.125
2.501944444E0	0.02	1.187799542E0	0.125
2.535011111E0	0.02	1.682869195E0	0.125
2.567933333E0	0.02	2.227445814E0	0.125
2.601577778E0	0.02	2.697761984E0	0.125
2.634855556E0	0.02	3.044310742E0	0.125
2.667388889E0	0.02	3.341352534E0	0.125
2.700455556E0	0.02	3.663147808E0	0.125
2.733722222E0	0.02	3.811668704E0	0.125
2.767411111E0	0.02	3.935436118E0	0.125
2.799833333E0	0.02	4.034450048E0	0.125
2.832966667E0	0.02	4.059203531E0	0.125
2.865822222E0	0.02	3.984943083E0	0.125
2.898811111E0	0.02	3.885929152E0	0.125
2.931911111E0	0.02	3.712654774E0	0.125
2.965311111E0	0.02	3.489873430E0	0.125
2.998166667E0	0.02	3.242338603E0	0.125
3.031455556E0	0.02	2.920543328E0	0.125
3.064744444E0	0.02	2.450227158E0	0.125
3.097444444E0	0.02	2.202692331E0	0.125
3.130522222E0	0.02	1.732376161E0	0.125
3.164044444E0	0.02	1.286813473E0	0.125
3.197566667E0	0.02	8.907577499E-1	0.125
3.230100000E0	0.02	3.214276487E-1	0.125
3.263066667E0	0.02	-7.462807397E-2	0.125
3.296188889E0	0.02	-5.449442446E-1	0.125
3.329311111E0	0.02	-8.419860366E-1	0.125
3.362433333E0	0.02	-1.213288277E0	0.125
3.395733333E0	0.02	-1.584590517E0	0.125
3.428855556E0	0.02	-1.856878826E0	0.125
3.463455556E0	0.02	-2.178674100E0	0.125
3.495333333E0	0.02	-2.401455444E0	0.125
3.528533333E0	0.02	-2.624236788E0	0.125
3.562222222E0	0.02	-2.772757684E0	0.125
3.594877778E0	0.02	-2.871771615E0	0.125
3.627533333E0	0.02	-2.921278580E0	0.125
3.660866667E0	0.02	-2.921278580E0	0.125
3.693766667E0	0.02	-2.896525098E0	0.125
3.727433333E0	0.02	-2.871771615E0	0.125
3.760755556E0	0.02	-2.698497236E0	0.125
3.793177778E0	0.02	-2.574729823E0	0.125
3.826400000E0	0.02	-2.327194996E0	0.125
3.859344444E0	0.02	-2.104413652E0	0.125
3.892288889E0	0.02	-1.832125343E0	0.125
3.925422222E0	0.02	-1.584590517E0	0.125
3.958677778E0	0.02	-1.262795242E0	0.125
3.991811111E0	0.02	-8.914930019E-1	0.125
4.024944444E0	0.02	-6.439581753E-1	0.125
4.061711111E0	0.02	-3.964233486E-1	0.125
4.090966667E0	0.02	-7.462807397E-2	0.125
4.124744444E0	0.02	1.976602353E-1	0.125
4.157733333E0	0.02	4.947020273E-1	0.125
4.190200000E0	0.02	7.422368540E-1	0.125
4.223477778E0	0.02	1.039278646E0	0.125
4.256300000E0	0.02	1.286813473E0	0.125
4.289455556E0	0.02	1.460087851E0	0.125
4.323155556E0	0.02	1.658115713E0	0.125
4.355866667E0	0.02	1.806636609E0	0.125
4.389322222E0	0.02	1.905650539E0	0.125
4.422088889E0	0.02	1.979910987E0	0.125
4.455044444E0	0.02	1.979910987E0	0.125
4.488266667E0	0.02	1.979910987E0	0.125
4.521833333E0	0.02	1.955157505E0	0.125
4.554433333E0	0.02	1.930404022E0	0.125
4.587500000E0	0.02	1.905650539E0	0.125
4.621377778E0	0.02	1.757129643E0	0.125
4.653800000E0	0.02	1.658115713E0	0.125
4.687400000E0	0.02	1.534348299E0	0.125
4.720300000E0	0.02	1.336320438E0	0.125
4.754144444E0	0.02	1.138292577E0	0.125
4.786188889E0	0.02	9.402647153E-1	0.125
4.819211111E0	0.02	7.669903366E-1	0.125
4.852733333E0	0.02	6.184694406E-1	0.125
4.885533333E0	0.02	3.461811313E-1	0.125
4.919155556E0	0.02	7.389282201E-2	0.125
4.951600000E0	0.02	-7.462807397E-2	0.125
4.984744444E0	0.02	-2.479024526E-1	0.125
5.017888889E0	0.02	-4.211768313E-1	0.125
5.051166667E0	0.02	-6.439581753E-1	0.125
5.084055556E0	0.02	-8.667395192E-1	0.125
5.117700000E0	0.02	-9.409999672E-1	0.125
5.150611111E0	0.02	-1.089520863E0	0.125
5.184022222E0	0.02	-1.238041759E0	0.125
5.216355556E0	0.02	-1.312302207E0	0.125
5.250222222E0	0.02	-1.361809173E0	0.125
5.282711111E0	0.02	-1.386562655E0	0.125
5.315588889E0	0.02	-1.411316138E0	0.125
5.349011111E0	0.02	-1.386562655E0	0.125
5.382233333E0	0.02	-1.312302207E0	0.125
5.415277778E0	0.02	-1.262795242E0	0.125
5.448322222E0	0.02	-1.213288277E0	0.125
5.483011111E0	0.02	-1.163781311E0	0.125
5.514566667E0	0.02	-1.089520863E0	0.125
5.547644444E0	0.02	-9.657534499E-1	0.125
5.581655556E0	0.02	-8.419860366E-1	0.125
5.614755556E0	0.02	-6.687116579E-1	0.125
5.646855556E0	0.02	-5.944512099E-1	0.125
5.681655556E0	0.02	-4.706837966E-1	0.125
5.714000000E0	0.02	-2.479024526E-1	0.125
5.747022222E0	0.02	-9.938155664E-2	0.125
5.779222222E0	0.02	-3.676259802E-4	0.125
5.812311111E0	0.02	1.729067527E-1	0.125
5.845733333E0	0.02	2.966741660E-1	0.125
5.879533333E0	0.02	4.451950620E-1	0.125
5.911933333E0	0.02	6.184694406E-1	0.125
5.945277778E0	0.02	7.422368540E-1	0.125
5.978388889E0	0.02	7.917438193E-1	0.125
6.011155556E0	0.02	8.660042673E-1	0.125
6.044533333E0	0.02	8.907577499E-1	0.125
6.077700000E0	0.02	9.650181979E-1	0.125
6.111277778E0	0.02	9.897716806E-1	0.125
6.143277778E0	0.02	1.014525163E0	0.125
6.177055556E0	0.02	9.897716806E-1	0.125
6.210000000E0	0.02	9.402647153E-1	0.125
6.242944444E0	0.02	9.155112326E-1	0.125
6.277033333E0	0.02	8.412507846E-1	0.125
6.309355556E0	0.02	8.164973019E-1	0.125
6.342377778E0	0.02	7.669903366E-1	0.125
6.375522222E0	0.02	6.927298886E-1	0.125
6.409666667E0	0.02	5.689624753E-1	0.125
6.441844444E0	0.02	4.947020273E-1	0.125
6.475022222E0	0.02	3.214276487E-1	0.125
6.508044444E0	0.02	2.966741660E-1	0.125
6.540922222E0	0.02	1.481532700E-1	0.125
6.574000000E0	0.02	4.913933935E-2	0.125
6.607722222E0	0.02	-3.676259802E-4	0.125
6.641266667E0	0.02	-4.987459131E-2	0.125
6.673400000E0	0.02	-1.736420046E-1	0.125
6.706600000E0	0.02	-2.974094180E-1	0.125
6.739800000E0	0.02	-3.469163833E-1	0.125
6.772400000E0	0.02	-4.211768313E-1	0.125
6.805733333E0	0.02	-4.459303139E-1	0.125
6.838588889E0	0.02	-4.954372793E-1	0.125
6.872222222E0	0.02	-5.449442446E-1	0.125
6.905466667E0	0.02	-5.696977273E-1	0.125
6.938222222E0	0.02	-5.696977273E-1	0.125
6.971266667E0	0.02	-6.192046926E-1	0.125
7.004688889E0	0.02	-5.696977273E-1	0.125
7.037611111E0	0.02	-5.201907619E-1	0.125
7.070288889E0	0.02	-4.954372793E-1	0.125
7.103700000E0	0.02	-4.211768313E-1	0.125
7.136988889E0	0.02	-3.716698659E-1	0.125
7.169911111E0	0.02	-2.726559353E-1	0.125
7.203622222E0	0.02	-2.479024526E-1	0.125
7.236444444E0	0.02	-2.231489700E-1	0.125
7.269266667E0	0.02	-1.983954873E-1	0.125
7.302544444E0	0.02	-1.241350393E-1	0.125
7.335822222E0	0.02	-9.938155664E-2	0.125
7.368644444E0	0.02	2.438585668E-2	0.125
7.401888889E0	0.02	7.389282201E-2	0.125
7.434577778E0	0.02	1.233997873E-1	0.125
7.467866667E0	0.02	1.976602353E-1	0.125
7.501333333E0	0.02	2.719206833E-1	0.125
7.534066667E0	0.02	1.976602353E-1	0.125
7.567122222E0	0.02	2.719206833E-1	0.125
7.600600000E0	0.02	3.709346140E-1	0.125
7.634077778E0	0.02	3.956880967E-1	0.125
7.666966667E0	0.02	4.204415793E-1	0.125
7.699711111E0	0.02	4.204415793E-1	0.125
7.732455556E0	0.02	4.451950620E-1	0.125
7.765722222E0	0.02	4.451950620E-1	0.125
7.798466667E0	0.02	4.204415793E-1	0.125
7.831844444E0	0.02	3.956880967E-1	0.125
7.865222222E0	0.02	3.956880967E-1	0.125
7.898088889E0	0.02	3.709346140E-1	0.125
7.931066667E0	0.02	3.709346140E-1	0.125
7.964455556E0	0.02	3.461811313E-1	0.125
7.997411111E0	0.02	3.214276487E-1	0.125
8.030600000E0	0.02	2.966741660E-1	0.125
8.063622222E0	0.02	2.719206833E-1	0.125
8.096644444E0	0.02	2.471672007E-1	0.125
8.129666667E0	0.02	1.976602353E-1	0.125
8.163544444E0	0.02	9.864630468E-2	0.125
8.196122222E0	0.02	7.389282201E-2	0.125
8.229244444E0	0.02	2.438585668E-2	0.125
