Num	A[cm]	dA	r[s^-1]	dr	f[s^-1]	df	phi[-]	dphi
1	32.39	9.4E-2	0.62	7.6E-5	3.96	9.8E-5	15.03	2.2E-3
2	23.21	3.5E-2	0.53	4.0E-5	3.87	4.8E-5	14.73	1.1E-3
3	17.80	1.4E-2	0.50	2.4E-5	3.83	2.8E-5	13.40	6.0E-4
4	8.97	7.7E-4	0.45	4.2E-6	3.78	4.8E-6	4.49	3.2E-5
5	23.45	4.4E-2	0.80	1.1E-4	4.34	1.5E-4	14.83	2.5E-3
6	17.96	1.3E-2	0.74	5.0E-5	4.30	6.6E-5	14.54	1.1E-3
7	12.23	6.4E-3	0.71	4.6E-5	4.24	5.8E-5	13.60	6.4E-4
8	7.23	6.0E-3	0.76	1.4E-4	4.22	1.8E-4	15.30	2.4E-3
9	26.80	8.8E-2	0.45	5.2E-5	5.26	5.3E-5	20.64	1.1E-3
10	19.88	2.7E-2	0.40	2.3E-5	5.21	2.4E-5	8.14	2.3E-4
11	15.08	6.5E-3	0.37	8.3E-6	5.17	9.1E-6	15.81	1.9E-4
12	4.33	7.3E-4	0.40	1.6E-5	5.14	1.8E-5	12.66	2.6E-4
