n	mn	m
24	0.44	0.0183
24	0.46	0.0192
24	0.44	0.0183
24	0.42	0.0175
24	0.42	0.0175
24	0.45	0.0188
24	0.43	0.0179
24	0.45	0.0188
24	0.46	0.0192
24	0.47	0.0196
24	0.47	0.0196
24	0.44	0.0183
24	0.45	0.0188
24	0.47	0.0196
24	0.42	0.0175
24	0.47	0.0196
24	0.44	0.0183
24	0.45	0.0188
24	0.41	0.0171
24	0.47	0.0196
24	0.43	0.0179
24	0.44	0.0183
24	0.42	0.0175
24	0.42	0.0175
24	0.43	0.0179
24	0.42	0.0175
24	0.44	0.0183
24	0.46	0.0192
24	0.46	0.0192
24	0.44	0.0183
24	0.43	0.0179
24	0.45	0.0188
24	0.45	0.0188
24	0.49	0.0204
26	0.5	0.0192
26	0.46	0.0177
24	0.44	0.0183
24	0.44	0.0183
24	0.42	0.0175
24	0.48	0.02
24	0.47	0.0196
26	0.49	0.0188
26	0.48	0.0185
26	0.49	0.0188
24	0.4	0.0167
24	0.45	0.0188
24	0.45	0.0188
24	0.45	0.0188
24	0.45	0.0188
24	0.43	0.0179
24	0.46	0.0192
24	0.45	0.0188
