V[V]	M[V]	dM[V]	I[A]	dI[A]	R[Ohm]	dR[Ohm]
0.05	10.8E-3	0.05E-3	42.5E-3	0.05E-3	238.3E-3	0.5
0.1	21.3E-3	0.05E-3	83.5E-3	0.05E-3	238.3E-3	0.5
0.15	32.3E-3	0.05E-3	126.5E-3	0.05E-3	238.3E-3	0.5
0.2	41.5E-3	0.05E-3	162.2E-3	0.05E-3	238.3E-3	0.5
0.25	52.3E-3	0.05E-3	203.6E-3	0.05E-3	238.4E-3	0.5
0.3	62.5E-3	0.05E-3	242.9E-3	0.05E-3	238.3E-3	0.5
0.35	73.3E-3	0.05E-3	279.5E-3	0.05E-3	238.3E-3	0.5
0.4	85.3E-3	0.05E-3	319.5E-3	0.05E-3	238.3E-3	0.5
0.45	48.7E-3	0.05E-3	360.0E-3	0.05E-3	238.3E-3	0.5
0.5	111.1E-3	0.05E-3	394.2E-3	0.05E-3	238.3E-3	0.5
