V1[mV]	sV1[mV]	V2[mV]	sV2[mV]	Id[mA]	sId[mA]
1397	0.5	0.3	0.05	2.99e-03	4.99e-04
1462	0.5	1.5	0.05	1.50e-02	4.99e-04
1489	0.5	3.1	0.05	3.09e-02	4.99e-04
1557	0.5	14.3	0.05	1.43e-01	5.04e-04
1568	0.5	18.3	0.05	1.83e-01	5.07e-04
1552	0.5	25.6	0.05	2.55e-01	5.15e-04
1607	0.5	41.8	0.05	4.17e-01	5.41e-04
1616	0.5	50.4	0.05	5.03e-01	5.59e-04
1621	0.5	57.4	0.05	5.73e-01	5.75e-04
1627	0.5	63.5	0.05	6.34e-01	5.91e-04
1631	0.5	68.8	0.05	6.87e-01	6.05e-04
1637	0.5	76.2	0.05	7.60e-01	6.27e-04
1641	0.5	83.1	0.05	8.29e-01	6.48e-04
1648	0.5	96.3	0.05	9.61e-01	6.92e-04
1653	0.5	104.9	0.05	1.05e+00	7.22e-04
1661	0.5	121.3	0.05	1.21e+00	7.84e-04
1670	0.5	141.2	0.05	1.41e+00	8.62e-04
1664	0.5	148.1	0.05	1.48e+00	8.90e-04
1675	0.5	155.3	0.05	1.55e+00	9.20e-04
1701	0.5	232.0	0.50	2.32e+00	5.12e-03
1742	0.5	276.0	0.50	2.75e+00	5.18e-03
1728	0.5	342.0	0.50	3.41e+00	5.27e-03
1748	0.5	438.0	0.50	4.37e+00	5.45e-03
1767	0.5	541.0	0.50	5.40e+00	5.67e-03
1781	0.5	628.0	0.50	6.27e+00	5.89e-03
1812	0.5	843.0	0.50	8.41e+00	6.52e-03
1825	0.5	945.0	0.50	9.43e+00	6.86e-03
1854	0.5	1202.0	0.50	1.20e+01	7.79e-03
1880	0.5	1400.0	5.00	1.40e+01	5.04e-02
1912	0.5	1690.0	5.00	1.69e+01	5.06e-02
1949	0.5	2020.0	5.00	2.02e+01	5.09e-02
