V1[mV]	V2[mV]	sV1[mV]	sV2[mV]
0.5	1536	0.05	0.5
1.2	1574	0.05	0.5
4.4	1626	0.05	0.5
8.1	1653	0.05	0.5
12.8	1673	0.05	0.5
20.0	1694	0.05	0.5
24.3	1703	0.05	0.5
34.3	1720	0.05	0.5
40.4	1728	0.05	0.5
49.9	1740	0.05	0.5
60.7	1750	0.05	0.5
70.7	1758	0.05	0.5
84.0	1767	0.05	0.5
91.8	1773	0.05	0.5
121.2	1790	0.05	0.5
136.4	1798	0.05	0.5
157.3	1807	0.05	0.5
183.6	1817	0.05	0.5
200	1824	0.5	0.5
267	1845	0.5	0.5
346	1878	0.5	0.5
550	1910	0.5	0.5
660	1932	0.5	0.5
801	1955	0.5	0.5
915	1974	0.5	0.5
1184	2016	0.5	0.5
1412	2050	0.5	0.5
1670	2084	5	0.5
