V1[mV]	V2[mV]	sV1[mV]	sV2[mV]
0.7	2228	0.05	0.5
0.9	2124	0.05	0.5
2.0	2330	0.05	0.5
3.4	2325	0.05	0.5
9.0	2441	0.05	0.5
16.1	2479	0.05	0.5
22.4	2504	0.05	0.5
31.6	2528	0.05	0.5
36.7	2541	0.05	0.5
42.7	2554	0.05	0.5
52.2	2573	0.05	0.5
63.2	2592	0.05	0.5
72.2	2607	0.05	0.5
77.1	2014	0.05	0.5
93.5	2637	0.05	0.5
110.7	2658	0.05	0.5
122.7	2672	0.05	0.5
137.4	2688	0.05	0.5
161.7	2722	0.05	0.5
218	2759	0.5	0.5
283	2804	0.5	0.5
410	2872	0.5	0.5
528	2921	0.5	0.5
626	2958	0.5	0.5
718	2984	0.5	0.5
824	3015	0.5	0.5
987	3053	0.5	0.5
1114	3080	0.5	0.5
