V1[mV]	V2[mV]	sV1[mV]	sV2[mV]
3.1	1489	0.05	0.5
1.5	1462	0.05	0.5
0.3	1397	0.05	0.5
14.3	1557	0.05	0.5
18.3	1568	0.05	0.5
25.6	1552	0.05	0.5
41.8	1607	0.05	0.5
50.4	1616	0.05	0.5
57.4	1621	0.05	0.5
63.5	1627	0.05	0.5
68.8	1631	0.05	0.5
76.2	1637	0.05	0.5
83.1	1641	0.05	0.5
96.3	1648	0.05	0.5
104.9	1653	0.05	0.5
121.3	1661	0.05	0.5
141.2	1670	0.05	0.5
155.3	1675	0.05	0.5
148.1	1664	0.05	0.5
232	1701	0.5	0.5
276	1742	0.5	0.5
342	1728	0.5	0.5
438	1748	0.5	0.5
541	1767	0.5	0.5
628	1781	0.5	0.5
843	1812	0.5	0.5
945	1825	0.5	0.5
1202	1854	0.5	0.5
1400	1880	5	0.5
1690	1912	5	0.5
2020	1949	5	0.5
