V1[mV]	V2[mV]	sV1[mV]	sV2[mv]
0.1	1590	0.05	0.5
2.7	1702	0.05	0.5
8.7	1751	0.05	0.5
17.7	1775	0.05	0.5
26.0	1796	0.05	0.5
36.2	1811	0.05	0.5
46.2	1821	0.05	0.5
51.0	1828	0.05	0.5
63.7	1838	0.05	0.5
72.7	1845	0.05	0.5
81.9	1852	0.05	0.5
96.1	1861	0.05	0.5
105.4	1866	0.05	0.5
113.2	1870	0.05	0.5
140.1	1883	0.05	0.5
164.5	1893	0.05	0.5
205	1910	0.5	0.5
260	1920	0.5	0.5
326	1940	0.5	0.5
455	1979	0.5	0.5
750	2044	0.5	0.5
1127	2116	0.5	0.5
1310	2153	5	0.5
834	2057	0.5	0.5
599	2009	0.5	0.5
1167	2123	0.5	0.5
1430	2160	5	0.5
1340	2152	5	0.5
