I[cm]	dI[cm]	W[px]	dW[px]
4.8	0.5	316	63
8.8	0.5	296	28	
12.2	0.5	336	38
15.7	0.5	332	40
19.6	0.5	395	71
25.6	0.5	444	65
30.6	0.5	479	92
35.4	0.5	516	88
42.5	0.5	598	103
50.8	0.5	725	95
60.0	0.5	768	82
65.9	0.5	829	143
70.3	0.5	843	133
75.1	0.5	806	123
77.9	0.5	877	114
81.2	0.5	895	97
85.8	0.5	911	95
90.3	0.5	928	225
96.8	0.5	1030	125
100.9	0.5	1063	205
103.6	0.5	1102	144
109.0	0.5	1147	173
114.5	0.5	1207	201
120.0	0.5	1194	150
123.1	0.5	1354	168
128.3	0.5	1456	232
132.6	0.5	1509	328
139.2	0.5	1525	205
145.8	0.5	1582	266
