A[cm]	dA[cm]	W[px]	dW[px]
3.8	0.5	217	18
5.0	0.5	198	23
6.4	0.5	183	17
8.3	0.5	174	19
10.1	0.5	162	11
11.2	0.5	152	10
12.8	0.5	143	10
14.8	0.5	143	15
16.3	0.5	138	15
18.4	0.5	135	9
22.2	0.5	181	8
26.9	0.5	261	16
30.9	0.5	326	38
36.5	0.5	415	78
40.8	0.5	518	70
46.7	0.5	570	80
52.1	0.5	541	197
57.2	0.5	718	209
64.6	0.5	750	213
4.2	0.5	215	22
5.0	0.5	201	12
5.6	0.5	183	16
7.1	0.5	182	11
7.7	0.5	189	15
8.8	0.5	173	14
10.2	0.5	164	10
11.4	0.5	162	28
12.6	0.5	160	23
13.8	0.5	148	9
15.2	0.5	146	20
16.4	0.5	138	12
