f	V_in	dV_in	V_out	dV_out	df
500	6.00	0.431	0.480	0.2654	0.5
743	6.00	0.431	0.640	0.2702	0.5
1003	5.92	0.4286	0.720	0.2726	0.5
1503	6.00	0.431	1.20	0.287	0.5
2500	6.00	0.431	1.84	0.3062	0.5
4000	6.00	0.431	2.64	0.3302	0.5
5000	6.00	0.431	3.28	0.3494	0.5
6015	6.00	0.431	3.76	0.3638	0.5
7519	6.00	0.431	4.40	0.383	0.5
9542	6.00	0.431	5.12	0.4046	0.5
13090	6.00	0.431	5.60	0.419	5
15020	6.00	0.431	5.76	0.4238	5
17420	6.08	0.4334	5.92	0.4286	5
20000	6.08	0.4334	5.76	0.4238	5
25000	6.08	0.4334	5.52	0.4166	5
34970	6.00	0.431	4.72	0.3926	5
47170	6.00	0.431	3.92	0.3686	5
60980	6.00	0.431	3.20	0.3470	5
75190	6.08	0.4334	2.72	0.3326	5
91740	6.08	0.4334	2.24	0.3182	5
101500	6.08	0.4334	2.08	0.3134	50
125000	6.00	0.431	1.76	0.3038	50
200000	6.08	0.4334	1.04	0.2822	50
500000	6.00	0.431	0.320	0.2606	50
