f	V_in	dV_in	V_out	dV_out	df
534	6.00	0.431	6.16	0.4358	0.5
834	6.00	0.431	6.08	0.4334	0.5
1087	6.00	0.431	6.08	0.4334	0.5
1520	6.00	0.431	6.00	0.431	0.5
2525	6.00	0.431	5.92	0.4286	0.5
4000	6.08	0.4334	5.76	0.4238	0.5
7463	6.00	0.431	5.12	0.4046	0.5
10640	6.00	0.431	4.40	0.383	5
12500	6.08	0.4334	3.92	0.3686	5
16000	6.08	0.4334	3.12	0.3446	5
20000	6.08	0.4334	2.56	0.3278	5
27030	6.00	0.431	1.68	0.3014	5
35710	6.00	0.431	1.20	0.287	5
47730	6.08	0.4334	0.900	0.278	5
60240	6.00	0.431	0.560	0.2678	5
75760	6.00	0.431	0.400	0.263	5
87720	6.08	0.4334	0.3200	0.2606	5
101500	6.08	0.4334	0.2400	0.2582	50
