f	V_in	dV_in	V_out	dV_out	df
500	6.08	0.4334	0.0800	0.2534	0.5
751	6.08	0.4334	0.0800	0.2534	0.5
1008	6.00	0.431	0.160	0.2558	0.5
1506	6.00	0.431	0.160	0.2558	0.5
2000	6.08	0.4334	0.240	0.2582	0.5
4065	6.08	0.4334	0.480	0.2654	0.5
6024	6.00	0.431	0.720	0.2726	0.5
7576	6.08	0.4334	1.04	0.2822	0.5
9615	6.08	0.4334	1.52	0.2966	0.5
12050	6.00	0.431	1.92	0.3086	5
15040	6.08	0.4334	2.48	0.3254	5
17420	6.08	0.4334	2.80	0.3350	5
20410	6.00	0.431	3.28	0.3494	5
25260	6.08	0.4334	3.92	0.3686	5
35849	6.08	0.4334	4.72	0.3926	5
47060	6.00	0.431	5.20	0.4070	5
60240	6.00	0.431	5.44	0.4142	5
75760	6.08	0.4334	5.68	0.4214	5
90500	6.08	0.4334	5.76	0.4238	5
152700	6.00	0.431	5.76	0.4238	50
