f[Hz]	df[Hz]	Vout[V]	dV_out[V]	Vin[V]	dV_in[V]	T[mus]	dT[mus]
506.3	0.05	4.4	0.183	5.52	0.2166	872	0.5
702.2	0.05	3.68	0.1614	5.36	0.2118	640	0.5
1.020E3	0.5	2.88	0.1374	5.12	0.2046	432	0.5
1.522E3	0.5	2.40	0.123	4.56	0.1878	332	0.5
2.020E3	0.5	2.48	0.1254	4.88	0.1974	260	0.5
2.525E3	0.5	2.72	0.1326	4.72	0.1926	212	0.5
3.003E3	0.5	2.88	0.1374	4.72	0.1926	180	0.5
4.032E3	0.5	3.20	0.147	4.64	0.1902	140	0.5
6.061E3	0.5	3.68	0.1614	4.41	0.1833	91.2	0.05
7.553E3	0.5	3.84	0.1662	4.24	0.1782	70.4	0.05
10.20E3	5	4.0	0.171	4.24	0.1782	52.0	0.05
20.24E3	5	4.16	0.1758	4.24	0.1782	25.4	0.05
52.08E3	5	4.16	0.1758	4.24	0.1782	9.5	0.05
77.4E3	50	4.16	0.1758	4.16	0.1758	6.4	0.05
