f[Hz]	df[Hz]	V1[mV]	dV_1[V]	V2[mV]	dV_2[V]
13.77	0.005	7.36	1.2208	74.3	3.229
26.08	0.005	7.35	1.2205	150	5.5
71.00	0.005	34.8	2.044	888	27.64
101.0	0.05	34.0	2.02	1.18E3	36.4
110.8	0.05	33.2	1.996	1.42E3	43.6
267.7	0.05	34.0	2.02	2.26E3	68.8
498.9	0.05	34.4	2.032	2.58E3	78.4
517.7	0.05	33.6	2.008	2.60E3	79.0
1.005E3	0.5	33.6	2.008	2.66E3	80.8
2.418E3	0.5	34.4	2.032	2.68E3	81.4
5.608E3	0.5	30.4	1.912	2.68E3	81.4
7.496E3	0.5	34.8	2.044	2.68E3	81.4
11.24E3	5	36.0	2.08	2.68E3	81.4
24.95E3	5	32.4	1.972	2.68E3	81.4
51.85E3	5	32.8	1.984	2.68E3	81.4
73.08E3	5	29.2	1.876	2.68E3	81.4
172.8E3	50	27.2	1.816	2.62E3	79.6
260.6E3	50	26.8	1.804	2.50E3	76.0
514.9E3	50	25.6	1.768	2.08E3	63.4
744.9E3	50	26.0	1.78	1.74E3	53.2
1.190E6	500	26.0	1.78	1.44E3	44.2
2.560E6	500	28.6	1.858	640	20.2
5.401E6	500	27.8	1.834	280	9.4
7.453E6	500	24.8	1.744	232	7.96
