f[Hz]	df[Hz]	Vi[mV]	dV_i[mV]	Vo[mV]	dV_o[mV]
11.27	0.005	320	10.6	1.42E3	43.6
25.00	0.005	336	11.08	1.48E3	45.4
50.10	0.005	344	11.32	1.50E3	46.0
75.99	0.005	344	11.32	1.50E3	46.0
103.7	0.05	344	11.32	1.50E3	46.0
250.8	0.05	344	11.32	1.44E3	44.2
506.1	0.05	336	11.08	1.30E3	40.0
766.9	0.05	336	11.08	1.16E3	35.8
949.7	0.05	336	11.08	1.06E3	32.8
2.493E3	0.5	336	11.08	520	16.6
5.066E3	0.5	336	11.08	280	9.4
7.576E3	0.5	336	11.08	184	6.52
10.16E3	5	336	11.08	144	5.32
25.20E3	5	336	11.08	60.0	2.8
50.00E3	5	336	11.08	34.0	2.02
74.74E3	5	336	11.08	26.0	1.78
101.4E3	50	336	11.08	20.8	1.624
250.9E3	50	328	10.84	12.8	1.384
505.1E3	50	336	11.08	13.6	1.408
775.2E3	50	328	10.84	12.8	1.384
1.020E6	500	328	10.84	15.2	1.456
2.500E6	500	320	10.6	26.4	1.792
5.058E6	500	312	10.36	39.2	2.176
